Epoch	Time(sec)	Loss_train	MAE_dev	MAE_test	RMSE_dev	RMSE_test	R2_dev	R2_test
81	5085.764827102999	65451.50737132071	2.5482369885246783	2.5961605049437466	3.6013172	3.7692153	0.4728780248693748	0.4294031584169292
82	5147.863177474	65431.79462618153	2.548704993085949	2.5969453728547642	3.6020334	3.767648	0.47266838246848186	0.42987757986116804
83	5210.684406816	65403.77741056155	2.5475002568383256	2.5963068891829875	3.6005354	3.7652297	0.4731068515374185	0.43060925472592104
84	5273.305999327999	65390.85352265905	2.5469609568882157	2.595690873254648	3.5993836	3.76537	0.47344394183187033	0.43056677305791047
85	5336.464490722	65375.114967975285	2.550313285855032	2.5979845771906707	3.6042962	3.7681293	0.4720056672198025	0.42973188890006786
86	5399.6267757979995	65343.49238679358	2.550857956036748	2.5981223756611134	3.6053274	3.7709844	0.47170349771679243	0.4288673779949195
87	5462.101562903	65332.277252078275	2.551713101158799	2.5992479474016084	3.6063416	3.7687247	0.471406200560744	0.4295517089493186
88	5525.097655162	65306.937374406785	2.551181746531729	2.5987369858763776	3.6053603	3.7680898	0.4716938092233266	0.4297438670930699
89	5587.7749053219995	65289.47401292914	2.551417394123104	2.598418445946901	3.6066282	3.7717576	0.47132215746178574	0.4286330778691454
90	5650.009459422	65142.9039867444	2.55070262995157	2.5986514155423346	3.60526	3.7693694	0.4717232538965688	0.42935654503700404
91	5712.118354016	65145.960546450886	2.5517052336244217	2.599359462727879	3.606732	3.7701924	0.4712917864555477	0.4291073311103699
92	5774.152789852999	65131.79322603096	2.5526504168937296	2.6002026159900313	3.6078773	3.7702358	0.4709559059541032	0.42909413591192
93	5836.4258549529995	65111.48613143958	2.5533407201012706	2.60046208484846	3.608933	3.771584	0.4706462791078605	0.42868571221667284
94	5898.606235925	65111.305858290136	2.5531500838166035	2.6002647784757573	3.6084213	3.7709928	0.47079635443522705	0.42886491819939376
95	5960.69676996	65093.141961481306	2.5520135561610413	2.5994790843831743	3.607046	3.7708204	0.47119975839094475	0.4289170742402565
96	6023.023819508	65079.82450735972	2.5534911656093002	2.6009586467197487	3.6085422	3.7702355	0.470760887332603	0.42909422122874075
97	6085.473286631	65078.69981616665	2.5516069174618097	2.599307394566594	3.606368	3.769767	0.47139844627729277	0.4292360533594757
98	6147.916315877	65065.710720948206	2.552693937380849	2.600001121691988	3.607827	3.7704284	0.4709706523553042	0.42903581917629086
99	6210.243739129	65056.92296107969	2.5525114085888068	2.6000540067271425	3.6071336	3.7695496	0.47117394348242647	0.42930189710121003
